languagecode,year_month,milestone,peak,count
aa,2007-11,5,highest_peak,8
aa,2004-06,1,not,1
aa,2004-12,1,not,1
aa,2005-01,1,not,1
aa,2005-03,1,not,1
aa,2005-07,1,not,1
aa,2005-08,1,not,3
aa,2005-10,1,not,1
aa,2005-12,1,not,1
aa,2006-01,1,not,2
aa,2006-02,1,not,1
aa,2006-03,1,not,1
aa,2006-05,1,not,1
aa,2006-07,1,not,1
aa,2006-08,1,not,2
aa,2006-09,1,not,2
aa,2006-10,1,not,1
aa,2006-11,1,not,2
aa,2006-12,1,not,2
aa,2007-01,1,not,4
aa,2007-02,1,not,1
aa,2007-03,5,not,5
aa,2007-04,1,not,3
aa,2007-05,1,not,1
aa,2007-06,1,not,3
aa,2007-07,1,not,3
aa,2007-08,5,not,7
aa,2007-09,1,not,3
aa,2007-10,1,not,2
aa,2007-12,1,not,3
aa,2008-01,1,not,3
aa,2008-02,1,not,4
aa,2008-03,5,not,5
aa,2008-04,5,not,5
aa,2008-05,1,not,4
aa,2008-06,1,not,1
aa,2008-07,1,not,3
aa,2009-08,1,not,1
aa,2014-12,1,not,1
aa,2015-01,1,not,1
aa,2015-02,1,not,1
aa,2015-10,1,not,1
ab,2020-02,10,highest_peak,17
ab,2005-01,1,not,1
ab,2005-04,1,not,1
ab,2005-05,1,not,1
ab,2005-06,1,not,1
ab,2005-07,1,not,2
ab,2005-08,1,not,1
ab,2005-09,1,not,2
ab,2005-11,1,not,1
ab,2005-12,1,not,3
ab,2006-01,1,not,3
ab,2006-02,1,not,2
ab,2006-04,1,not,2
ab,2006-05,1,not,1
ab,2006-06,1,not,1
ab,2006-07,1,not,3
ab,2006-08,1,not,3
ab,2006-09,1,not,1
ab,2006-10,1,not,1
ab,2006-11,1,not,1
ab,2006-12,1,not,2
ab,2007-01,1,not,2
ab,2007-02,1,not,2
ab,2007-03,1,not,4
ab,2007-04,1,not,2
ab,2007-05,1,not,1
ab,2007-06,1,not,4
ab,2007-07,1,not,1
ab,2007-08,5,not,5
ab,2007-09,1,not,1
ab,2007-10,1,not,2
ab,2007-11,1,not,1
ab,2007-12,1,not,1
ab,2008-01,5,not,6
ab,2008-02,1,not,2
ab,2008-04,1,not,2
ab,2008-05,1,not,1
ab,2008-06,1,not,1
ab,2008-07,5,not,6
ab,2008-08,5,not,6
ab,2008-09,5,not,6
ab,2008-10,5,not,7
ab,2008-11,5,not,7
ab,2008-12,5,not,5
ab,2009-01,5,not,5
ab,2009-02,5,not,8
ab,2009-03,5,not,5
ab,2009-04,1,not,4
ab,2009-05,1,not,3
ab,2009-06,1,not,4
ab,2009-07,1,not,3
ab,2009-08,1,not,4
ab,2009-09,1,not,3
ab,2009-10,1,not,4
ab,2009-11,1,not,4
ab,2009-12,5,not,7
ab,2010-01,1,not,3
ab,2010-02,5,not,5
ab,2010-03,10,not,11
ab,2010-04,10,not,11
ab,2010-05,5,not,5
ab,2010-06,10,not,11
ab,2010-07,10,not,11
ab,2010-08,5,not,9
ab,2010-09,10,not,10
ab,2010-10,5,not,9
ab,2010-11,5,not,7
ab,2010-12,5,not,6
ab,2011-01,5,not,7
ab,2011-02,5,not,5
ab,2011-03,1,not,4
ab,2011-04,5,not,6
ab,2011-05,5,not,7
ab,2011-06,5,not,7
ab,2011-07,5,not,9
ab,2011-08,5,not,7
ab,2011-09,5,not,7
ab,2011-10,5,not,7
ab,2011-11,5,not,5
ab,2011-12,1,not,3
ab,2012-01,5,not,7
ab,2012-02,5,not,8
ab,2012-03,5,not,6
ab,2012-04,1,not,1
ab,2012-05,10,not,11
ab,2012-06,5,not,9
ab,2012-07,1,not,3
ab,2012-08,1,not,4
ab,2012-09,5,not,7
ab,2012-10,5,not,5
ab,2012-11,1,not,2
ab,2012-12,1,not,3
ab,2013-01,1,not,3
ab,2013-02,1,not,1
ab,2013-03,5,not,7
ab,2013-04,5,not,5
ab,2013-05,1,not,4
ab,2013-06,5,not,7
ab,2013-07,5,not,6
ab,2013-08,1,not,3
ab,2013-09,5,not,5
ab,2013-10,1,not,3
ab,2013-11,1,not,4
ab,2013-12,1,not,2
ab,2014-01,1,not,4
ab,2014-02,5,not,7
ab,2014-03,5,not,8
ab,2014-04,1,not,4
ab,2014-05,1,not,3
ab,2014-06,1,not,2
ab,2014-07,1,not,3
ab,2014-08,1,not,4
ab,2014-09,5,not,5
ab,2014-10,5,not,5
ab,2014-11,1,not,4
ab,2014-12,1,not,3
ab,2015-01,1,not,4
ab,2015-02,5,not,5
ab,2015-03,10,not,14
ab,2015-04,5,not,5
ab,2015-05,1,not,4
ab,2015-06,1,not,3
ab,2015-07,1,not,2
ab,2015-08,1,not,3
ab,2015-09,1,not,4
ab,2015-10,5,not,6
ab,2015-11,1,not,3
ab,2015-12,1,not,2
ab,2016-01,1,not,4
ab,2016-02,1,not,3
ab,2016-03,5,not,5
ab,2016-04,5,not,5
ab,2016-05,5,not,6
ab,2016-06,1,not,2
ab,2016-07,1,not,2
ab,2016-08,10,not,11
ab,2016-09,1,not,4
ab,2016-10,5,not,5
ab,2016-11,1,not,2
ab,2016-12,1,not,3
ab,2017-01,5,not,5
ab,2017-02,5,not,6
ab,2017-03,1,not,2
ab,2017-04,1,not,3
ab,2017-05,1,not,2
ab,2017-06,5,not,7
ab,2017-07,5,not,7
ab,2017-08,1,not,1
ab,2017-09,1,not,4
ab,2017-10,1,not,1
ab,2017-11,1,not,3
ab,2017-12,1,not,3
ab,2018-01,1,not,2
ab,2018-02,5,not,6
ab,2018-03,1,not,2
ab,2018-04,1,not,4
ab,2018-05,1,not,4
ab,2018-06,1,not,4
ab,2018-07,1,not,2
ab,2018-08,1,not,2
ab,2018-09,1,not,2
ab,2018-10,1,not,4
ab,2018-11,1,not,3
ab,2018-12,1,not,3
ab,2019-01,5,not,5
ab,2019-02,5,not,5
ab,2019-03,1,not,3
ab,2019-04,1,not,2
ab,2019-05,1,not,4
ab,2019-06,1,not,1
ab,2019-07,5,not,8
ab,2019-08,1,not,2
ab,2019-09,1,not,3
ab,2019-10,10,not,10
ab,2019-11,5,not,5
ab,2019-12,1,not,3
ab,2020-01,5,not,7
ab,2020-03,5,not,9
ab,2020-04,1,not,4
ab,2020-05,1,not,2
ab,2020-06,5,not,6
ab,2020-07,10,not,13
ab,2020-08,1,not,3
ab,2020-09,5,not,5
ab,2020-10,10,not,13
ab,2020-11,1,not,4
ab,2020-12,10,not,13
ab,2021-01,10,not,10
ab,2021-02,5,not,7
ab,2021-03,1,not,4
ab,2021-04,5,not,9
ab,2021-05,5,not,5
ab,2021-06,5,not,6
ab,2021-07,5,not,6
ab,2021-08,5,not,6
ace,2010-07,10,highest_peak,29
ace,2004-11,1,not,1
ace,2005-01,1,not,3
ace,2005-02,1,not,1
ace,2005-04,1,not,2
ace,2005-09,1,not,1
ace,2006-08,1,not,1
ace,2007-06,1,not,1
ace,2007-07,1,not,1
ace,2007-08,1,not,1
ace,2008-04,1,not,2
ace,2008-05,1,not,2
ace,2008-08,1,not,3
ace,2008-09,1,not,3
ace,2008-10,1,not,3
ace,2008-11,1,not,3
ace,2008-12,1,not,2
ace,2009-01,5,not,6
ace,2009-02,5,not,5
ace,2009-03,1,not,4
ace,2009-04,5,not,5
ace,2009-05,1,not,4
ace,2009-06,5,not,7
ace,2009-07,1,not,4
ace,2009-08,10,not,23
ace,2009-09,10,not,19
ace,2009-10,10,not,12
ace,2009-11,10,not,10
ace,2009-12,10,not,16
ace,2010-01,5,not,7
ace,2010-02,5,not,8
ace,2010-03,5,not,7
ace,2010-04,10,not,15
ace,2010-05,5,not,9
ace,2010-06,10,not,12
ace,2010-08,10,not,12
ace,2010-09,10,not,12
ace,2010-10,5,not,5
ace,2010-11,10,not,12
ace,2010-12,5,not,8
ace,2011-01,5,not,7
ace,2011-02,10,not,12
ace,2011-03,5,not,7
ace,2011-04,10,not,13
ace,2011-05,1,not,4
ace,2011-06,5,not,8
ace,2011-07,5,not,5
ace,2011-08,5,not,5
ace,2011-09,5,not,7
ace,2011-10,5,not,6
ace,2011-11,10,not,10
ace,2011-12,5,not,8
ace,2012-01,5,not,8
ace,2012-02,5,not,9
ace,2012-03,5,not,9
ace,2012-04,5,not,5
ace,2012-05,10,not,13
ace,2012-06,5,not,8
ace,2012-07,5,not,8
ace,2012-08,10,not,10
ace,2012-09,10,not,10
ace,2012-10,1,not,3
ace,2012-11,1,not,4
ace,2012-12,5,not,7
ace,2013-01,5,not,7
ace,2013-02,5,not,5
ace,2013-03,10,not,12
ace,2013-04,10,not,14
ace,2013-05,10,not,18
ace,2013-06,10,not,15
ace,2013-07,10,not,13
ace,2013-08,5,not,9
ace,2013-09,5,not,5
ace,2013-10,5,not,6
ace,2013-11,10,not,11
ace,2013-12,5,not,8
ace,2014-01,5,not,7
ace,2014-02,5,not,7
ace,2014-03,5,not,8
ace,2014-04,10,not,12
ace,2014-05,5,not,8
ace,2014-06,5,not,6
ace,2014-07,5,not,5
ace,2014-08,5,not,7
ace,2014-09,5,not,7
ace,2014-10,5,not,6
ace,2014-11,5,not,5
ace,2014-12,1,not,4
ace,2015-01,5,not,8
ace,2015-02,5,not,9
ace,2015-03,5,not,8
ace,2015-04,5,not,5
ace,2015-05,5,not,8
ace,2015-06,5,not,5
ace,2015-07,10,not,10
ace,2015-08,1,not,4
ace,2015-09,5,not,6
ace,2015-10,10,not,11
ace,2015-11,5,not,7
ace,2015-12,5,not,6
ace,2016-01,1,not,4
ace,2016-02,1,not,2
ace,2016-03,5,not,5
ace,2016-04,5,not,9
ace,2016-05,1,not,4
ace,2016-06,5,not,5
ace,2016-07,5,not,7
ace,2016-08,5,not,6
ace,2016-09,5,not,6
ace,2016-10,1,not,4
ace,2016-11,1,not,2
ace,2016-12,1,not,4
ace,2017-01,5,not,8
ace,2017-02,5,not,6
ace,2017-03,5,not,7
ace,2017-04,1,not,2
ace,2017-05,5,not,5
ace,2017-06,5,not,8
ace,2017-07,5,not,7
ace,2017-08,5,not,6
ace,2017-09,5,not,9
ace,2017-10,5,not,5
ace,2017-11,1,not,4
ace,2017-12,5,not,5
ace,2018-01,5,not,7
ace,2018-02,5,not,8
ace,2018-03,5,not,7
ace,2018-04,5,not,5
ace,2018-05,5,not,7
ace,2018-06,5,not,7
ace,2018-07,5,not,7
ace,2018-08,10,not,11
ace,2018-09,5,not,7
ace,2018-10,5,not,9
ace,2018-11,5,not,6
ace,2018-12,5,not,5
ace,2019-01,5,not,8
ace,2019-02,10,not,12
ace,2019-03,10,not,11
ace,2019-04,10,not,10
ace,2019-05,10,not,11
ace,2019-06,5,not,7
ace,2019-07,5,not,9
ace,2019-08,5,not,8
ace,2019-09,5,not,9
ace,2019-10,10,not,11
ace,2019-11,5,not,6
ace,2019-12,10,not,10
ace,2020-01,5,not,8
ace,2020-02,10,not,14
ace,2020-03,10,not,11
ace,2020-04,10,not,14
ace,2020-05,5,not,8
ace,2020-06,10,not,11
ace,2020-07,10,not,10
ace,2020-08,10,not,11
ace,2020-09,10,not,12
ace,2020-10,10,not,13
ace,2020-11,1,not,4
ace,2020-12,1,not,3
ace,2021-01,10,not,14
ace,2021-02,10,not,10
ace,2021-03,5,not,5
ace,2021-04,5,not,9
ace,2021-05,5,not,9
ace,2021-06,5,not,8
ace,2021-07,1,not,4
ace,2021-08,5,not,6
ady,2016-02,10,highest_peak,34
ady,2008-10,1,not,2
ady,2008-12,1,not,1
ady,2009-01,1,not,3
ady,2009-02,1,not,1
ady,2009-03,1,not,1
ady,2009-04,1,not,1
ady,2010-03,1,not,3
ady,2010-04,1,not,3
ady,2010-07,1,not,1
ady,2011-03,1,not,2
ady,2011-12,1,not,3
ady,2012-04,1,not,1
ady,2013-01,1,not,3
ady,2013-03,1,not,1
ady,2013-04,5,not,8
ady,2013-05,5,not,8
ady,2013-10,1,not,1
ady,2014-02,1,not,1
ady,2014-03,1,not,4
ady,2014-05,10,not,11
ady,2014-06,1,not,2
ady,2014-08,1,not,1
ady,2014-11,1,not,1
ady,2015-06,5,not,5
ady,2015-07,1,not,2
ady,2015-08,5,not,5
ady,2015-09,1,not,2
ady,2015-11,5,not,5
ady,2015-12,5,not,9
ady,2016-01,5,not,6
ady,2016-03,5,not,8
ady,2016-04,10,not,10
ady,2016-05,1,not,4
ady,2016-06,1,not,3
ady,2016-07,1,not,4
ady,2016-08,5,not,6
ady,2016-09,5,not,6
ady,2016-10,1,not,1
ady,2016-11,1,not,3
ady,2016-12,1,not,2
ady,2017-01,1,not,1
ady,2017-02,1,not,1
ady,2017-03,1,not,3
ady,2017-04,1,not,2
ady,2017-05,1,not,2
ady,2017-06,1,not,1
ady,2017-07,1,not,1
ady,2017-08,1,not,2
ady,2017-09,5,not,8
ady,2017-10,1,not,4
ady,2017-11,1,not,2
ady,2017-12,1,not,1
ady,2018-01,1,not,1
ady,2018-02,1,not,3
ady,2018-03,1,not,1
ady,2018-04,1,not,1
ady,2018-05,1,not,1
ady,2018-06,1,not,2
ady,2018-07,1,not,1
ady,2018-08,1,not,4
ady,2018-09,1,not,3
ady,2018-10,1,not,2
ady,2018-11,1,not,2
ady,2018-12,1,not,2
ady,2019-01,1,not,1
ady,2019-02,1,not,2
ady,2019-03,1,not,1
ady,2019-04,1,not,2
ady,2019-05,5,not,6
ady,2019-06,1,not,1
ady,2019-07,1,not,1
ady,2019-08,1,not,3
ady,2019-09,5,not,6
ady,2019-10,1,not,3
ady,2019-11,1,not,1
ady,2019-12,1,not,3
ady,2020-01,1,not,3
ady,2020-02,5,not,6
ady,2020-03,1,not,4
ady,2020-04,1,not,4
ady,2020-05,1,not,3
ady,2020-06,1,not,3
ady,2020-07,5,not,6
ady,2020-08,1,not,1
ady,2020-09,1,not,2
ady,2020-10,5,not,5
ady,2020-11,1,not,2
ady,2020-12,1,not,4
ady,2021-01,1,not,3
ady,2021-02,1,not,2
ady,2021-03,5,not,6
ady,2021-04,1,not,4
ady,2021-05,1,not,1
ady,2021-06,1,not,2
ady,2021-07,1,not,4
ady,2021-08,1,not,2
af,2021-08,50,highest_peak,87
af,2001-11,1,not,1
af,2002-08,1,not,1
af,2002-09,1,not,1
af,2002-10,1,not,1
af,2002-11,1,not,1
af,2003-01,1,not,1
af,2003-02,1,not,1
af,2003-04,1,not,2
af,2003-05,1,not,1
af,2003-06,1,not,1
af,2003-07,1,not,2
af,2003-08,1,not,4
af,2003-09,1,not,1
af,2003-10,1,not,2
af,2003-11,1,not,4
af,2003-12,5,not,8
af,2004-01,1,not,3
af,2004-02,1,not,2
af,2004-03,5,not,6
af,2004-04,5,not,8
af,2004-05,5,not,8
af,2004-06,10,not,16
af,2004-07,5,not,9
af,2004-08,5,not,7
af,2004-09,5,not,5
af,2004-10,5,not,8
af,2004-11,10,not,13
af,2004-12,10,not,14
af,2005-01,10,not,13
af,2005-02,10,not,10
af,2005-03,10,not,16
af,2005-04,10,not,19
af,2005-05,10,not,17
af,2005-06,10,not,20
af,2005-07,10,not,23
af,2005-08,10,not,24
af,2005-09,10,not,21
af,2005-10,10,not,28
af,2005-11,10,not,28
af,2005-12,10,not,24
af,2006-01,10,not,41
af,2006-02,10,not,30
af,2006-03,10,not,25
af,2006-04,10,not,35
af,2006-05,10,not,28
af,2006-06,10,not,34
af,2006-07,10,not,27
af,2006-08,10,not,36
af,2006-09,10,not,35
af,2006-10,10,not,27
af,2006-11,10,not,29
af,2006-12,10,not,33
af,2007-01,10,not,32
af,2007-02,10,not,29
af,2007-03,10,not,40
af,2007-04,50,not,52
af,2007-05,50,not,52
af,2007-06,10,not,42
af,2007-07,10,not,39
af,2007-08,10,not,33
af,2007-09,10,not,40
af,2007-10,10,not,48
af,2007-11,10,not,43
af,2007-12,10,not,36
af,2008-01,10,not,38
af,2008-02,10,not,33
af,2008-03,50,not,55
af,2008-04,10,not,41
af,2008-05,10,not,42
af,2008-06,50,not,57
af,2008-07,50,not,50
af,2008-08,10,not,48
af,2008-09,10,not,47
af,2008-10,10,not,47
af,2008-11,10,not,40
af,2008-12,10,not,42
af,2009-01,50,not,60
af,2009-02,10,not,41
af,2009-03,10,not,49
af,2009-04,10,not,42
af,2009-05,10,not,40
af,2009-06,50,not,60
af,2009-07,10,not,44
af,2009-08,50,not,50
af,2009-09,50,not,57
af,2009-10,50,not,52
af,2009-11,50,not,59
af,2009-12,50,not,51
af,2010-01,10,not,42
af,2010-02,10,not,38
af,2010-03,10,not,46
af,2010-04,50,not,51
af,2010-05,10,not,43
af,2010-06,50,not,51
af,2010-07,10,not,46
af,2010-08,10,not,36
af,2010-09,10,not,35
af,2010-10,10,not,41
af,2010-11,10,not,44
af,2010-12,10,not,30
af,2011-01,10,not,43
af,2011-02,10,not,43
af,2011-03,10,not,34
af,2011-04,10,not,35
af,2011-05,10,not,37
af,2011-06,10,not,33
af,2011-07,10,not,41
af,2011-08,10,not,37
af,2011-09,10,not,43
af,2011-10,10,not,42
af,2011-11,10,not,39
af,2011-12,10,not,35
af,2012-01,10,not,40
af,2012-02,10,not,42
af,2012-03,10,not,48
af,2012-04,10,not,35
af,2012-05,50,not,50
af,2012-06,10,not,44
af,2012-07,10,not,43
af,2012-08,50,not,54
af,2012-09,10,not,39
af,2012-10,10,not,31
af,2012-11,10,not,33
af,2012-12,10,not,23
af,2013-01,50,not,52
af,2013-02,10,not,46
af,2013-03,10,not,40
af,2013-04,50,not,50
af,2013-05,50,not,50
af,2013-06,10,not,39
af,2013-07,10,not,41
af,2013-08,10,not,40
af,2013-09,10,not,36
af,2013-10,10,not,39
af,2013-11,10,not,45
af,2013-12,10,not,38
af,2014-01,10,not,47
af,2014-02,10,not,41
af,2014-03,10,not,37
af,2014-04,10,not,39
af,2014-05,10,not,42
af,2014-06,10,not,37
af,2014-07,10,not,36
af,2014-08,50,not,55
af,2014-09,10,not,38
af,2014-10,10,not,33
af,2014-11,10,not,36
af,2014-12,10,not,43
af,2015-01,10,not,49
af,2015-02,10,not,35
af,2015-03,10,not,45
af,2015-04,10,not,44
af,2015-05,10,not,44
af,2015-06,10,not,49
af,2015-07,10,not,35
af,2015-08,10,not,41
af,2015-09,10,not,39
af,2015-10,10,not,45
af,2015-11,10,not,33
af,2015-12,10,not,42
af,2016-01,10,not,43
af,2016-02,10,not,47
af,2016-03,50,not,54
af,2016-04,50,not,56
af,2016-05,10,not,46
af,2016-06,10,not,45
af,2016-07,50,not,55
af,2016-08,10,not,45
af,2016-09,10,not,47
af,2016-10,50,not,53
af,2016-11,10,not,37
af,2016-12,10,not,36
af,2017-01,10,not,34
af,2017-02,10,not,40
af,2017-03,10,not,49
af,2017-04,10,not,34
af,2017-05,50,not,52
af,2017-06,10,not,45
af,2017-07,10,not,48
af,2017-08,10,not,45
af,2017-09,10,not,42
af,2017-10,10,not,48
af,2017-11,10,not,49
af,2017-12,10,not,42
af,2018-01,10,not,42
af,2018-02,10,not,43
af,2018-03,10,not,49
af,2018-04,10,not,38
af,2018-05,10,not,43
af,2018-06,10,not,44
af,2018-07,50,not,52
af,2018-08,50,not,53
af,2018-09,50,not,51
af,2018-10,50,not,63
af,2018-11,50,not,53
af,2018-12,50,not,58
af,2019-01,50,not,65
af,2019-02,50,not,63
af,2019-03,50,not,59
af,2019-04,50,not,55
af,2019-05,50,not,62
af,2019-06,50,not,60
af,2019-07,50,not,62
af,2019-08,50,not,52
af,2019-09,50,not,54
af,2019-10,50,not,72
af,2019-11,50,not,64
af,2019-12,50,not,62
af,2020-01,50,not,68
af,2020-02,50,not,68
af,2020-03,50,not,58
af,2020-04,50,not,70
af,2020-05,50,not,73
af,2020-06,50,not,71
af,2020-07,50,not,75
af,2020-08,50,not,69
af,2020-09,50,not,70
af,2020-10,50,not,75
af,2020-11,50,not,67
af,2020-12,50,not,68
af,2021-01,50,not,64
af,2021-02,50,not,55
af,2021-03,50,not,69
af,2021-04,50,not,64
af,2021-05,50,not,64
af,2021-06,50,not,78
af,2021-07,50,not,64
af,2021-09,5,not,8
ak,2012-05,10,highest_peak,13
ak,2005-07,1,not,2
ak,2005-08,1,not,2
ak,2005-12,1,not,1
ak,2006-01,1,not,2
ak,2006-03,1,not,1
ak,2006-04,1,not,1
ak,2006-08,1,not,3
ak,2006-09,1,not,2
ak,2006-10,1,not,2
ak,2006-11,1,not,2
ak,2006-12,5,not,5
ak,2007-01,1,not,2
ak,2007-02,1,not,3
ak,2007-03,1,not,2
ak,2007-04,1,not,3
ak,2007-05,1,not,4
ak,2007-06,1,not,3
ak,2007-07,1,not,3
ak,2007-08,5,not,5
ak,2007-09,1,not,4
ak,2007-10,1,not,3
ak,2007-11,5,not,7
ak,2007-12,1,not,1
ak,2008-01,1,not,2
ak,2008-04,1,not,3
ak,2008-06,1,not,3
ak,2008-07,5,not,5
ak,2008-08,5,not,5
ak,2008-09,5,not,7
ak,2008-10,10,not,11
ak,2008-11,1,not,4
ak,2008-12,1,not,4
ak,2009-01,1,not,4
ak,2009-02,5,not,5
ak,2009-03,1,not,3
ak,2009-04,1,not,2
ak,2009-05,1,not,1
ak,2009-07,1,not,1
ak,2009-08,1,not,4
ak,2009-09,1,not,4
ak,2009-10,1,not,4
ak,2009-11,1,not,3
ak,2009-12,1,not,1
ak,2010-01,1,not,3
ak,2010-02,5,not,6
ak,2010-03,5,not,6
ak,2010-04,1,not,4
ak,2010-05,1,not,3
ak,2010-06,1,not,3
ak,2010-07,1,not,4
ak,2010-08,5,not,6
ak,2010-09,1,not,4
ak,2010-10,1,not,1
ak,2010-11,1,not,3
ak,2010-12,1,not,2
ak,2011-01,1,not,1
ak,2011-02,1,not,2
ak,2011-03,1,not,1
ak,2011-04,1,not,4
ak,2011-05,5,not,5
ak,2011-06,5,not,5
ak,2011-07,5,not,7
ak,2011-08,5,not,7
ak,2011-09,1,not,3
ak,2011-10,5,not,8
ak,2011-11,1,not,4
ak,2011-12,1,not,3
ak,2012-01,1,not,3
ak,2012-02,5,not,6
ak,2012-03,1,not,2
ak,2012-04,1,not,3
ak,2012-06,5,not,5
ak,2012-07,5,not,7
ak,2012-08,1,not,3
ak,2012-09,1,not,3
ak,2012-10,1,not,2
ak,2012-11,1,not,1
ak,2012-12,1,not,3
ak,2013-01,1,not,2
ak,2013-02,1,not,1
ak,2013-03,1,not,4
ak,2013-04,1,not,3
ak,2013-05,5,not,5
ak,2013-06,1,not,4
ak,2013-07,1,not,3
ak,2013-08,1,not,2
ak,2013-09,1,not,4
ak,2013-10,1,not,3
ak,2013-11,1,not,3
ak,2013-12,1,not,3
ak,2014-01,5,not,7
ak,2014-02,1,not,4
ak,2014-03,5,not,5
ak,2014-04,1,not,1
ak,2014-05,1,not,1
ak,2014-06,1,not,4
ak,2014-07,1,not,1
ak,2014-08,1,not,2
ak,2014-09,5,not,6
ak,2014-10,1,not,1
ak,2014-11,5,not,5
ak,2015-01,1,not,1
ak,2015-02,1,not,4
ak,2015-03,5,not,5
ak,2015-04,1,not,2
ak,2015-05,5,not,6
ak,2015-06,1,not,2
ak,2015-07,5,not,5
ak,2015-08,1,not,1
ak,2015-09,5,not,5
ak,2015-10,1,not,3
ak,2015-11,1,not,4
ak,2015-12,1,not,3
ak,2016-01,1,not,2
ak,2016-02,1,not,1
ak,2016-04,1,not,3
ak,2016-05,1,not,1
ak,2016-06,1,not,3
ak,2016-07,1,not,1
ak,2016-08,1,not,3
ak,2016-09,1,not,3
ak,2016-10,1,not,1
ak,2016-12,1,not,2
ak,2017-01,1,not,2
ak,2017-02,1,not,4
ak,2017-03,1,not,2
ak,2017-04,1,not,1
ak,2017-05,1,not,4
ak,2017-06,1,not,3
ak,2017-07,1,not,4
ak,2017-08,1,not,2
ak,2017-09,1,not,1
ak,2017-11,1,not,3
ak,2017-12,1,not,3
ak,2018-01,1,not,3
ak,2018-02,5,not,6
ak,2018-03,1,not,1
ak,2018-04,5,not,5
ak,2018-05,1,not,4
ak,2018-06,1,not,1
ak,2018-07,1,not,1
ak,2018-08,1,not,1
ak,2018-10,1,not,2
ak,2018-11,1,not,1
ak,2018-12,1,not,2
ak,2019-01,1,not,1
ak,2019-02,1,not,2
ak,2019-03,1,not,4
ak,2019-05,5,not,7
ak,2019-06,5,not,5
ak,2019-07,5,not,5
ak,2019-08,1,not,4
ak,2019-09,1,not,3
ak,2019-10,5,not,7
ak,2019-11,5,not,8
ak,2019-12,1,not,4
ak,2020-01,1,not,4
ak,2020-02,5,not,9
ak,2020-03,5,not,5
ak,2020-04,5,not,7
ak,2020-05,5,not,5
ak,2020-06,5,not,5
ak,2020-07,1,not,3
ak,2020-08,1,not,3
ak,2020-09,1,not,4
ak,2020-10,10,not,10
ak,2020-11,1,not,4
ak,2020-12,1,not,2
ak,2021-01,1,not,3
ak,2021-02,5,not,6
ak,2021-03,1,not,3
ak,2021-04,1,not,3
ak,2021-05,1,not,3
ak,2021-06,1,not,4
ak,2021-07,1,not,4
ak,2021-08,5,not,7
als,2008-01,10,highest_peak,44
als,2002-09,1,not,1
als,2003-11,1,not,1
als,2003-12,1,not,1
als,2004-02,1,not,1
als,2004-05,1,not,1
als,2004-06,1,not,2
als,2004-07,1,not,3
als,2004-08,1,not,3
als,2004-09,5,not,6
als,2004-10,10,not,17
als,2004-11,10,not,14
als,2004-12,10,not,11
als,2005-01,10,not,11
als,2005-02,5,not,9
als,2005-03,5,not,5
als,2005-04,10,not,10
als,2005-05,5,not,9
als,2005-06,10,not,11
als,2005-07,10,not,10
als,2005-08,10,not,16
als,2005-09,10,not,22
als,2005-10,10,not,20
als,2005-11,10,not,12
als,2005-12,10,not,19
als,2006-01,10,not,26
als,2006-02,10,not,24
als,2006-03,10,not,30
als,2006-04,10,not,33
als,2006-05,10,not,26
als,2006-06,10,not,26
als,2006-07,10,not,25
als,2006-08,10,not,33
als,2006-09,10,not,29
als,2006-10,10,not,31
als,2006-11,10,not,37
als,2006-12,10,not,28
als,2007-01,10,not,40
als,2007-02,10,not,29
als,2007-03,10,not,39
als,2007-04,10,not,41
als,2007-05,10,not,41
als,2007-06,10,not,41
als,2007-07,10,not,37
als,2007-08,10,not,31
als,2007-09,10,not,23
als,2007-10,10,not,34
als,2007-11,10,not,36
als,2007-12,10,not,33
als,2008-02,10,not,33
als,2008-03,10,not,33
als,2008-04,10,not,26
als,2008-05,10,not,40
als,2008-06,10,not,34
als,2008-07,10,not,37
als,2008-08,10,not,39
als,2008-09,10,not,34
als,2008-10,10,not,40
als,2008-11,10,not,33
als,2008-12,10,not,36
als,2009-01,10,not,38
als,2009-02,10,not,34
als,2009-03,10,not,35
als,2009-04,10,not,34
als,2009-05,10,not,29
als,2009-06,10,not,27
als,2009-07,10,not,18
als,2009-08,10,not,26
als,2009-09,10,not,24
als,2009-10,10,not,32
als,2009-11,10,not,32
als,2009-12,10,not,26
als,2010-01,10,not,22
als,2010-02,10,not,28
als,2010-03,10,not,29
als,2010-04,10,not,25
als,2010-05,10,not,27
als,2010-06,10,not,32
als,2010-07,10,not,23
als,2010-08,10,not,28
als,2010-09,10,not,19
als,2010-10,10,not,19
als,2010-11,10,not,23
als,2010-12,10,not,18
als,2011-01,10,not,26
als,2011-02,10,not,20
als,2011-03,10,not,23
als,2011-04,10,not,24
als,2011-05,10,not,19
als,2011-06,10,not,24
als,2011-07,10,not,29
als,2011-08,10,not,23
als,2011-09,10,not,22
als,2011-10,10,not,19
als,2011-11,10,not,24
als,2011-12,10,not,22
als,2012-01,10,not,28
als,2012-02,10,not,22
als,2012-03,10,not,35
als,2012-04,10,not,20
als,2012-05,10,not,31
als,2012-06,10,not,20
als,2012-07,10,not,23
als,2012-08,10,not,29
als,2012-09,10,not,28
als,2012-10,10,not,22
als,2012-11,10,not,20
als,2012-12,10,not,18
als,2013-01,10,not,26
als,2013-02,10,not,21
als,2013-03,10,not,22
als,2013-04,10,not,17
als,2013-05,10,not,27
